Project Name,Name and Location,Latitude,Longitude,Project Type,Borough,Opening Date,Year,Image link,Body Text
Booker T Washington Houses,"Booker T Washington Houses,Manhattan, NYC",-73.962802,40.8005115,Housing,Manhattan,,1941,https://readtiger.com/img/wkp/en/2d_Av_103_St_Washington_NYCHA_jeh.jpg,"Booker T Washington Houses,Manhattan, NYC"
Carver Houses,"Carver Houses,Manhattan, NYC",-73.9513584,40.7906011,Housing,Manhattan,,1958,http://technico-csi.com/wp/wp-content/uploads/2014/04/Carve-King-1.jpg,"Carver Houses,Manhattan, NYC"
Frederick Douglas Houses,"Frederick Douglas Houses,Manhattan, NYC",-73.9649353,40.7956813,Housing,Manhattan,,1958,http://spc.columbiaspectator.com/sites/default/files/FD%20house.jpg,"Frederick Douglas Houses,Manhattan, NYC"
Martin Luther King Houses,"Martin Luther King Houses,Manhattan, NYC",-73.9497745,40.8008156,Housing,Manhattan,,1954,http://assets.nydailynews.com/polopoly_fs/1.152332.1314002724!/img/httpImage/image.jpg_gen/derivatives/article_750/alg-mlk-towers-jpg.jpg,"Martin Luther King Houses,Manhattan, NYC"
James Weldon Johnson Houses,"James Weldon Johnson Houses,Manhattan, NYC",-73.9427778,40.7969444,Housing,Manhattan,,1948,http://www.city-data.com/forum/attachments/new-york-city/34799d1232834022-nyc-really-safe-pt-2-my-harlem-020.jpg,"James Weldon Johnson Houses,Manhattan, NYC"
Jefferson Houses,"Jefferson Houses,Manhattan, NYC",-73.9397435,40.7958142,Housing,Manhattan,,1959,https://s-media-cache-ak0.pinimg.com/originals/43/4e/52/434e525f33e0ae809b16f7a3f953e95b.jpg,"Jefferson Houses,Manhattan, NYC"
Robert Wagner Houses,"Robert Wagner Houses,Manhattan, NYC",-73.9320982,40.8003206,Housing,Manhattan,,1958,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Wagner_Houses.jpg/1200px-Wagner_Houses.jpg,"Robert Wagner Houses,Manhattan, NYC"
Abraham Lincoln Houses,"Abraham Lincoln Houses,Manhattan, NYC",-73.9353177,40.8113383,Housing,Manhattan,,1948,http://assets.nydailynews.com/polopoly_fs/1.1747016.1396753613!/img/httpImage/image.jpg_gen/derivatives/article_750/nycha6n-13-web.jpg,"Abraham Lincoln Houses,Manhattan, NYC"
General Grant Houses,"General Grant Houses,Manhattan, NYC",-73.958393,40.8146782,Housing,Manhattan,,1956,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/NYCHA_Grant_Houses_WTM3_The_Fixers_0021.jpg/1200px-NYCHA_Grant_Houses_WTM3_The_Fixers_0021.jpg,"General Grant Houses,Manhattan, NYC"
Manhattanville Houses,"Manhattanville Houses,Manhattan, NYC",-73.9537728,40.8188972,Housing,Manhattan,,1961,http://assets.nydailynews.com/polopoly_fs/1.1590809.1390613094!/img/httpImage/image.jpg_gen/derivatives/article_750/gangs24u-5-web.jpg,"Manhattanville Houses,Manhattan, NYC"
